"Comune";"Provincia";"Regione";"Nome";"Anno inserimento";"Data e ora inserimento";"Identificatore in OpenStreetMap";"Longitudine";"Latitudine";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-04-08T21:49:07Z";"1707704135";"10.7141132";"46.8643543";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-04-09T14:59:57Z";"1708647918";"10.714561";"46.8643857";
"ALTRO";"ALTRO";"ALTRO";"";"2012";"2012-12-15T21:56:17Z";"2068971620";"8.98849079999999";"45.9595192";
"ALTRO";"ALTRO";"ALTRO";"";"2013";"2013-09-25T07:26:05Z";"2463081578";"13.9002281";"45.6442592";
"ALTRO";"ALTRO";"ALTRO";"";"2014";"2014-05-31T22:34:28Z";"1243414310";"7.814507";"45.9567648";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-01-10T18:49:43Z";"3280877529";"13.6368934";"45.9611348999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-08-24T16:53:48Z";"3712296814";"7.0363604";"44.2192798999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-08-24T16:53:48Z";"3712296815";"7.0362336";"44.2193948";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-09-01T14:59:07Z";"275702581";"6.8880329";"45.8786362";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-12-22T00:16:29Z";"3903796853";"9.0404094";"45.9216170999999";
"ALTRO";"ALTRO";"ALTRO";"Monte Morello";"2014";"2014-10-12T17:48:48Z";"3126368552";"8.97081509999999";"45.8370571999999";
"Andrate";"TORINO";"Piemonte";"";"2012";"2012-08-17T22:49:45Z";"1870693261";"7.874074";"45.5278919";
"Andrate";"TORINO";"Piemonte";"";"2012";"2012-11-24T16:49:12Z";"1874495228";"7.8730417";"45.5291043";
"Azeglio";"TORINO";"Piemonte";"";"2013";"2013-04-20T10:09:22Z";"2273513568";"8.0177566";"45.4017448";
"Buttigliera Alta";"TORINO";"Piemonte";"Torre Bicocca";"2012";"2012-08-13T14:03:20Z";"1864286886";"7.4338323";"45.0777914";
"Candia Canavese";"TORINO";"Piemonte";"";"2010";"2010-11-25T13:19:02Z";"1003779530";"7.8820778";"45.3324191999999";
"Corio";"TORINO";"Piemonte";"";"2013";"2013-11-11T15:12:08Z";"2528046848";"7.5362353";"45.3077169999999";
"Giaglione";"TORINO";"Piemonte";"";"2015";"2015-06-19T10:36:46Z";"3343681193";"6.9700757";"45.1544032999999";
"Ivrea";"TORINO";"Piemonte";"";"2012";"2012-10-22T12:17:49Z";"1977800134";"7.8785631";"45.4734446";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-02-04T13:40:44Z";"2141354333";"7.8730338";"45.4369014999999";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-12-10T18:27:14Z";"2574687753";"7.9027505";"45.4714456999999";
"Ivrea";"TORINO";"Piemonte";"";"2013";"2013-12-24T16:04:16Z";"2592919162";"7.9129205";"45.4543826999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-01-15T00:54:43Z";"2622913070";"7.888233";"45.4242338999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-01-21T01:44:53Z";"2630659177";"7.876239";"45.4608655999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-02-09T00:22:00Z";"2662079367";"7.8866345";"45.46611";
"Maglione";"TORINO";"Piemonte";"";"2013";"2013-12-17T14:03:03Z";"2583719247";"8.0111258";"45.3460898";
"Meana di Susa";"TORINO";"Piemonte";"";"2014";"2014-09-03T07:33:17Z";"3056931620";"7.0538892";"45.1001009";
"Mercenasco";"TORINO";"Piemonte";"";"2014";"2014-06-03T15:07:14Z";"2897291943";"7.8761405";"45.3580626999999";
"Mompantero";"TORINO";"Piemonte";"";"2015";"2015-03-03T10:28:36Z";"3380889439";"7.0743173";"45.1448873";
"Ozegna";"TORINO";"Piemonte";"";"2015";"2015-02-14T04:17:39Z";"3339513699";"7.7418629";"45.3466048";
"Pavone Canavese";"TORINO";"Piemonte";"";"2014";"2014-01-15T00:54:43Z";"2622913067";"7.8836068";"45.4238712";
"Perosa Argentina";"TORINO";"Piemonte";"Ripetitore TV e Telefono";"2012";"2012-10-26T15:40:50Z";"1984453053";"7.1952921";"44.9625573";
"Perrero";"TORINO";"Piemonte";"Ripetitore TV e telefonia";"2015";"2015-06-06T13:29:31Z";"3576496189";"7.1459452";"44.9344911";
"Perrero";"TORINO";"Piemonte";"Ripetitore TV e telefonia";"2015";"2015-06-06T13:41:24Z";"3576495279";"7.1171403";"44.9379740999999";
"Piossasco";"TORINO";"Piemonte";"";"2010";"2010-10-04T10:45:04Z";"802102960";"7.4204762";"45.0111349";
"Piverone";"TORINO";"Piemonte";"";"2014";"2014-10-13T09:54:52Z";"2203057658";"8.0062653";"45.4481420999999";
"Rivalta di Torino";"TORINO";"Piemonte";"";"2014";"2014-01-25T19:31:15Z";"2637230815";"7.5128653";"45.0219457";
"Rivalta di Torino";"TORINO";"Piemonte";"";"2015";"2015-06-08T08:29:32Z";"2637230798";"7.5136803";"45.0216968";
"Rivoli";"TORINO";"Piemonte";"";"2013";"2013-07-20T11:09:03Z";"2390451876";"7.5336959";"45.0849325";
"Sestriere";"TORINO";"Piemonte";"";"2015";"2015-07-13T11:33:05Z";"2412410413";"6.885494";"44.9528110999999";
"Torino";"TORINO";"Piemonte";"";"2012";"2012-07-29T12:19:58Z";"1311008776";"7.7148318";"45.1188221";
"Torino";"TORINO";"Piemonte";"";"2013";"2013-10-09T14:51:49Z";"2489524896";"7.6583275";"45.0464782999999";
"Torino";"TORINO";"Piemonte";"Braciere Olimpico";"2013";"2013-10-03T20:02:03Z";"1765623646";"7.6499835";"45.0429663";
"Torino";"TORINO";"Piemonte";"Telecom Antenna";"2012";"2012-08-31T13:32:31Z";"1891490610";"7.663909";"45.0447089999999";
"Vestigne'";"TORINO";"Piemonte";"";"2015";"2015-11-22T15:47:02Z";"2635065576";"7.9530037";"45.3875894999999";
"Vialfre'";"TORINO";"Piemonte";"";"2014";"2014-02-14T20:58:53Z";"2671963383";"7.8150017";"45.3840579";
"Vico Canavese";"TORINO";"Piemonte";"";"2014";"2014-02-15T14:50:04Z";"2673027765";"7.7764793";"45.4918623";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2013";"2013-08-21T15:58:13Z";"2426914345";"8.4153685";"45.2618026";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"1795526257";"8.4213896";"45.2471536999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"1795526393";"8.4211714";"45.2487209";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792431";"8.4209558";"45.2502982";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792432";"8.4207414";"45.2518666";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792433";"8.42054519999999";"45.2534257";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792434";"8.41999249999999";"45.2565553";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792435";"8.41965229999999";"45.2581332";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792436";"8.4193321";"45.2596694";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792437";"8.41899729999999";"45.2612506999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792438";"8.4186835";"45.2627809999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245654";"8.4183942";"45.2643241";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245656";"8.4180861";"45.2655765";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245657";"8.4177642";"45.2671355";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245658";"8.4174249";"45.2686628";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245659";"8.4171254";"45.2701767";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245663";"8.4162687";"45.2712464999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245664";"8.4155037";"45.2723036";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2914245665";"8.415863";"45.2734780999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914245669";"8.4162052";"45.2744975";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914245680";"8.4158759";"45.2760226999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914245697";"8.41554829999999";"45.2775729";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246415";"8.4152213";"45.2791214";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246422";"8.4148812";"45.2806719";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246429";"8.4145618";"45.2822426999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246433";"8.4142394";"45.2837749999999";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246438";"8.4139003";"45.2853104";
"Asigliano Vercellese";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:59Z";"2914246439";"8.4135664";"45.2868579";
"Borgo d'Ale";"VERCELLI";"Piemonte";"";"2011";"2011-05-22T12:38:30Z";"1296085969";"8.0228141";"45.3804945999999";
"Borgo Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-11-25T20:43:09Z";"2551437360";"8.45655359999999";"45.3596875";
"Cigliano";"VERCELLI";"Piemonte";"";"2013";"2013-07-01T10:23:27Z";"2368301814";"8.0219207";"45.3095679999999";
"Collobiano";"VERCELLI";"Piemonte";"";"2013";"2013-09-10T10:20:52Z";"2452642957";"8.3564756";"45.386122";
"Collobiano";"VERCELLI";"Piemonte";"";"2013";"2013-09-10T10:20:52Z";"2452642958";"8.3433919";"45.4009164";
"Desana";"VERCELLI";"Piemonte";"";"2013";"2013-01-17T10:37:08Z";"2115691475";"8.3629713";"45.2640287999999";
"Desana";"VERCELLI";"Piemonte";"";"2013";"2013-01-17T10:37:08Z";"2115691478";"8.3631291";"45.2641326";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792152";"8.4248814";"45.2208783";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792153";"8.4246766";"45.2224422";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792154";"8.4244621";"45.2240516999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792155";"8.4242541";"45.2256117";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792156";"8.42406489999999";"45.2270314";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792157";"8.4238734";"45.2284703999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792158";"8.423664";"45.2300449";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792159";"8.4273629";"45.2308565";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792160";"8.4269855";"45.2309047999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792161";"8.4255701";"45.2311947999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792162";"8.42430049999999";"45.2314364";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792163";"8.4234644";"45.2315870999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792164";"8.423264";"45.2331428";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792165";"8.4230575";"45.2347463999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792166";"8.4228234";"45.2362761999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792170";"8.4226166";"45.2377996";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792176";"8.4224014";"45.2394615999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792287";"8.4220033";"45.2424802";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792364";"8.421789";"45.2440216999999";
"Pertengo";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:58Z";"2155792387";"8.4215823";"45.2456062999999";
"Pezzana";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T23:06:58Z";"2463410229";"8.4686724";"45.2730851999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792136";"8.4280277";"45.1975479";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792137";"8.4278121";"45.1990807";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792138";"8.4276022";"45.2006988999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792139";"8.4273822";"45.2022539";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792140";"8.42718099999999";"45.2037733";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792141";"8.4269645";"45.2053470999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792142";"8.4267471";"45.2069613";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:56Z";"2155792143";"8.4265396";"45.2085014999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792144";"8.4263609";"45.2100719999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792145";"8.4261389";"45.2116468999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792146";"8.4259249";"45.2132217999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792147";"8.4257229";"45.2147891999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792148";"8.4255561";"45.2159552";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792149";"8.4253965";"45.2170711999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792150";"8.4253011";"45.2178522999999";
"Rive";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:57Z";"2155792151";"8.4250933";"45.2193507";
"Rovasenda";"VERCELLI";"Piemonte";"";"2014";"2014-07-07T14:30:18Z";"2952535865";"8.3121946";"45.5322559";
"Santhia'";"VERCELLI";"Piemonte";"";"2011";"2011-05-22T12:38:27Z";"1296085793";"8.1499563";"45.3716131999999";
"Santhia'";"VERCELLI";"Piemonte";"";"2015";"2015-06-29T13:44:30Z";"3625277522";"8.17562189999999";"45.3719285999999";
"Stroppiana";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T23:06:57Z";"2463410204";"8.4657182";"45.2090407";
"Stroppiana";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T23:06:57Z";"2463410205";"8.4625129";"45.2274007999999";
"Stroppiana";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T23:06:58Z";"2463410223";"8.45995989999999";"45.2380173";
"Tricerro";"VERCELLI";"Piemonte";"";"2013";"2013-10-09T21:44:07Z";"2490212415";"8.31785769999999";"45.2262321999999";
"Tronzano Vercellese";"VERCELLI";"Piemonte";"";"2013";"2013-10-06T23:19:30Z";"2485778248";"8.16984139999999";"45.3479687";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-08-21T15:58:13Z";"2426914360";"8.39970409999999";"45.3077867";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-08-21T15:58:13Z";"2426914364";"8.4191939";"45.3239221999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-10T10:20:51Z";"2452642936";"8.453548";"45.2953565999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-10T10:20:52Z";"2452642956";"8.4104899";"45.3158157";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-17T18:20:47Z";"2461992896";"8.39527859999999";"45.3220445999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-17T18:20:47Z";"2461992905";"8.4337204";"45.3243944999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-17T18:20:47Z";"2461992906";"8.4334789";"45.3245656";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-17T18:20:47Z";"2461992910";"8.39658";"45.3254954";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T11:35:30Z";"2462749386";"8.4062075";"45.3206606999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T11:35:30Z";"2462749387";"8.4033868";"45.3223326";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T11:35:31Z";"2462749421";"8.4323318";"45.3318145";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T11:35:31Z";"2462749447";"8.4159822";"45.3338279999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-18T11:35:32Z";"2456491955";"8.4247222";"45.3340171999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-19T22:10:36Z";"2464692564";"8.4089959";"45.3032556";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-25T21:53:14Z";"2471588314";"8.401305";"45.3110628";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-09-25T21:53:15Z";"2471588320";"8.42673409999999";"45.315575";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-10-20T20:06:40Z";"1141155323";"8.4021814";"45.3401675";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-10-20T20:06:40Z";"2503255429";"8.4016039";"45.3395069";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-10-27T21:40:55Z";"2510860911";"8.4335032";"45.3221099";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-12-11T16:42:42Z";"2452642955";"8.4350559";"45.3153245999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2013";"2013-12-26T18:39:50Z";"2010541613";"8.43480409999999";"45.3152334999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-01-31T12:12:49Z";"2564538040";"8.4270543";"45.3267157";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-04-04T11:03:21Z";"2484335825";"8.418614";"45.3165069";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141187102";"8.40007849999999";"45.2963489999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141187110";"8.40550479999999";"45.2953201999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190207";"8.416064";"45.2941061";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190209";"8.4028607";"45.2958438";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190210";"8.41199149999999";"45.2942342999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190225";"8.4203318";"45.2929657999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190227";"8.4190492";"45.2933387";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190230";"8.4174065";"45.2937750999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1141190231";"8.4219652";"45.2925562";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1192444133";"8.409715";"45.2969269";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"1192444135";"8.4091345";"45.2962710999999";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:15Z";"890210171";"8.4276827";"45.2912052";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-06-13T11:05:16Z";"890210266";"8.42664229999999";"45.2913678";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:53Z";"1141186993";"8.4082068";"45.2948328";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:54Z";"1141190222";"8.41226269999999";"45.2929941";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:54Z";"1141190223";"8.4132512";"45.2884035";
"Vercelli";"VERCELLI";"Piemonte";"";"2014";"2014-09-26T14:10:54Z";"1141190228";"8.4126407";"45.2914432";
"Borgomanero";"NOVARA";"Piemonte";"";"2013";"2013-03-07T17:39:55Z";"2189978003";"8.4689297";"45.7169413";
"Borgo Ticino";"NOVARA";"Piemonte";"";"2015";"2015-01-05T21:18:07Z";"3271235704";"8.5981083";"45.6778218999999";
"Casalino";"NOVARA";"Piemonte";"";"2013";"2013-08-27T11:27:57Z";"2433713789";"8.5009608";"45.3888840999999";
"Casalino";"NOVARA";"Piemonte";"";"2013";"2013-08-27T11:27:57Z";"2433713790";"8.5010513";"45.3899814";
"Gattico";"NOVARA";"Piemonte";"";"2013";"2013-03-18T21:30:36Z";"2209019262";"8.5155689";"45.7177646999999";
"Novara";"NOVARA";"Piemonte";"";"2012";"2012-05-01T08:08:06Z";"1736971038";"8.5970939";"45.4387201999999";
"Busca";"CUNEO";"Piemonte";"";"2015";"2015-02-12T18:32:27Z";"3346310483";"7.4705594";"44.5194106";
"Caraglio";"CUNEO";"Piemonte";"";"2013";"2013-03-21T21:21:17Z";"2213713962";"7.4405025";"44.4186880999999";
"Carru'";"CUNEO";"Piemonte";"";"2011";"2011-02-14T11:38:28Z";"1152632822";"7.8305625";"44.4935747999999";
"Casteldelfino";"CUNEO";"Piemonte";"Ripetitore RAI";"2012";"2012-09-07T21:59:41Z";"1904884570";"7.0666237";"44.5866643";
"Cherasco";"CUNEO";"Piemonte";"Torre Comunale dell'Orologio";"2014";"2014-03-27T02:46:17Z";"1325493085";"7.8574207";"44.6519338";
"Margarita";"CUNEO";"Piemonte";"";"2014";"2014-11-22T19:49:24Z";"3200456338";"7.6877712";"44.4103550999999";
"Narzole";"CUNEO";"Piemonte";"Antenna telefonia";"2015";"2015-08-24T10:27:20Z";"3198395642";"7.8637942";"44.5982880999999";
"Ormea";"CUNEO";"Piemonte";"";"2013";"2013-12-22T08:46:20Z";"2359422022";"7.9049544";"44.1425033";
"Ormea";"CUNEO";"Piemonte";"";"2015";"2015-07-03T12:46:21Z";"2473297394";"7.832984";"44.1647474999999";
"Paesana";"CUNEO";"Piemonte";"";"2015";"2015-09-21T17:37:30Z";"3753190984";"7.2155947";"44.6212187";
"Piasco";"CUNEO";"Piemonte";"";"2015";"2015-05-07T18:01:04Z";"3503391535";"7.4400636";"44.5712315";
"Prazzo";"CUNEO";"Piemonte";"";"2012";"2012-06-13T10:23:36Z";"1785840514";"7.0766384";"44.4776956999999";
"Racconigi";"CUNEO";"Piemonte";"";"2011";"2011-05-23T18:57:52Z";"1297538123";"7.6653586";"44.7950167999999";
"Robilante";"CUNEO";"Piemonte";"";"2011";"2011-09-16T18:50:35Z";"1434808658";"7.5049999";"44.2762005";
"Robilante";"CUNEO";"Piemonte";"";"2011";"2011-09-20T23:24:36Z";"1438873498";"7.5396837";"44.2910449999999";
"Robilante";"CUNEO";"Piemonte";"";"2011";"2011-11-11T19:09:57Z";"1438873509";"7.525039";"44.2917215";
"Sambuco";"CUNEO";"Piemonte";"";"2014";"2014-12-28T13:53:26Z";"3256590624";"7.0842883";"44.3362959";
"Sambuco";"CUNEO";"Piemonte";"Campanile San Bartolomeo";"2014";"2014-12-15T19:39:26Z";"1786938750";"7.0774734";"44.3344998999999";
"Vernante";"CUNEO";"Piemonte";"";"2013";"2013-07-07T22:47:08Z";"2377498249";"7.5387431";"44.2502375999999";
"Vernante";"CUNEO";"Piemonte";"";"2013";"2013-07-07T22:47:09Z";"2377498293";"7.5379896";"44.2512753";
"Vernante";"CUNEO";"Piemonte";"";"2013";"2013-07-07T22:47:09Z";"2377498313";"7.5348851";"44.2516921";
"Asti";"ASTI";"Piemonte";"";"2014";"2014-07-05T20:02:16Z";"2949735602";"8.1935084";"44.8933291";
"Asti";"ASTI";"Piemonte";"";"2014";"2014-07-09T20:51:22Z";"2956317732";"8.20829859999999";"44.8899121999999";
"Asti";"ASTI";"Piemonte";"";"2014";"2014-07-09T21:41:21Z";"2956394357";"8.2065926";"44.8935907999999";
"Asti";"ASTI";"Piemonte";"";"2014";"2014-09-27T13:25:29Z";"3098626657";"8.2233952";"44.9004622";
"Asti";"ASTI";"Piemonte";"";"2014";"2014-09-27T13:25:29Z";"3098626658";"8.2252352";"44.9007927999999";
"Castello di Annone";"ASTI";"Piemonte";"";"2014";"2014-09-22T09:43:58Z";"3090431763";"8.361909";"44.905329";
"Cortanze";"ASTI";"Piemonte";"";"2014";"2014-04-28T09:34:38Z";"1761493428";"8.08630499999999";"45.0078707999999";
"Loazzolo";"ASTI";"Piemonte";"";"2013";"2013-04-28T19:59:51Z";"2284850984";"8.2238513";"44.6728992999999";
"Loazzolo";"ASTI";"Piemonte";"";"2013";"2013-04-28T19:59:52Z";"2284851042";"8.2290119";"44.6753770999999";
"Mombaldone";"ASTI";"Piemonte";"";"2015";"2015-04-07T10:43:45Z";"3442615821";"8.30538089999999";"44.5686483";
"Passerano Marmorito";"ASTI";"Piemonte";"";"2013";"2013-11-30T14:01:24Z";"2558453639";"8.0236511";"45.0647084";
"Roccaverano";"ASTI";"Piemonte";"";"2011";"2011-08-09T19:07:34Z";"1392854783";"8.27201769999999";"44.5921499999999";
"Roccaverano";"ASTI";"Piemonte";"Torre di Vengore";"2013";"2013-01-06T17:04:58Z";"2098337779";"8.3003537";"44.5954374";
"Vesime";"ASTI";"Piemonte";"";"2011";"2011-08-09T10:50:11Z";"1392213931";"8.2666836";"44.6278428999999";
"Vesime";"ASTI";"Piemonte";"";"2011";"2011-08-09T10:50:12Z";"1392214005";"8.265155";"44.6296281999999";
